iter	Logloss
0	0.6765994789
1	0.6605595988
2	0.6458836395
3	0.6316514045
4	0.6188098389
5	0.6046239149
6	0.5910738998
7	0.5803289631
8	0.5693002197
9	0.5606143313
10	0.5522214273
11	0.5438006702
12	0.5349605987
13	0.5285178598
14	0.5228358857
15	0.5158903008
16	0.5098245115
17	0.5045506233
18	0.5001928316
19	0.4955543191
20	0.4896807733
21	0.4864685652
22	0.4815588199
23	0.4777293785
24	0.4734093573
25	0.4699150308
26	0.4662521524
27	0.4628653441
28	0.4606195555
29	0.4577984605
30	0.4542937886
31	0.45215767
32	0.4504376667
33	0.4484596765
34	0.4458701539
35	0.4437195092
36	0.4417322046
37	0.439323817
38	0.4378320644
39	0.4358434358
40	0.4343229232
41	0.4327495891
42	0.4314025868
43	0.4299400005
44	0.4288075224
45	0.4277021538
46	0.4257800994
47	0.4246411531
48	0.4232107848
49	0.4222048402
50	0.4209234733
51	0.4198185922
52	0.4180692017
53	0.4163056285
54	0.4152798415
55	0.4148475608
56	0.4132203459
57	0.4121735102
58	0.4109753292
59	0.409934931
60	0.4085590811
61	0.4079016765
62	0.407005342
63	0.4064538119
64	0.4055848313
65	0.4041355477
66	0.4034224983
67	0.4023903127
68	0.4012525823
69	0.4001449369
70	0.3993837837
71	0.397917063
72	0.3971630022
73	0.3968261581
74	0.3958363148
75	0.395526825
76	0.394673586
77	0.3936746766
78	0.3930972052
79	0.3926131924
80	0.3919126833
81	0.3914379279
82	0.3907200855
83	0.3898774185
84	0.3892456182
85	0.3883776385
86	0.3874541698
87	0.3867295101
88	0.3859742048
89	0.3853871103
90	0.3846269722
91	0.3840660934
92	0.3828929012
93	0.3823720873
94	0.3814361495
95	0.3807499016
96	0.3800009951
97	0.3794425658
98	0.3787800646
99	0.3779018046
100	0.3770749875
101	0.3763038886
102	0.3756005728
103	0.3750030233
104	0.3744841295
105	0.3743675427
106	0.3735945143
107	0.3728189132
108	0.3725202152
109	0.3718345527
110	0.3715393698
111	0.3708685773
112	0.3702617737
113	0.3695817523
114	0.3690985246
115	0.3687697678
116	0.3686993615
117	0.368002138
118	0.3672688886
119	0.3671212173
120	0.366710037
121	0.365839985
122	0.3651701313
123	0.3645256465
124	0.363792761
125	0.3634406467
126	0.3628983688
127	0.3626163224
128	0.3621638861
129	0.3619100199
130	0.3615742809
131	0.3611682833
132	0.3607015068
133	0.3601142301
134	0.3597500235
135	0.3594764799
136	0.3588744246
137	0.3581609227
138	0.3576180377
139	0.3571969445
140	0.3570393041
141	0.3562214573
142	0.3555914782
143	0.3553547312
144	0.3551970646
145	0.3546914741
146	0.3541566423
147	0.3532904151
148	0.3530713742
149	0.3527425835
150	0.3521555707
151	0.3518141273
152	0.3515091567
153	0.3510156775
154	0.350720012
155	0.3502230169
156	0.3493010858
157	0.3488672112
158	0.3487681654
159	0.348205465
160	0.3476111999
161	0.3472165819
162	0.3463562263
163	0.3458468553
164	0.3455578065
165	0.3453059613
166	0.3446066882
167	0.3439084219
168	0.3437556805
169	0.3428236241
170	0.3426277547
171	0.3417957223
172	0.3415417294
173	0.3411898715
174	0.3406440679
175	0.3403559201
176	0.3401334916
177	0.339883024
