iter	Passed	Remaining
0	80	120346
1	152	113925
2	195	97726
3	266	99640
4	360	107721
5	447	111358
6	530	113128
7	609	113691
8	694	115010
9	807	120244
10	892	120798
11	967	119954
12	1044	119494
13	1120	118941
14	1199	118720
15	1271	117954
16	1352	117953
17	1434	118091
18	1506	117407
19	1590	117687
20	1673	117839
21	1752	117736
22	1887	121207
23	1983	121955
24	2088	123250
25	2213	125509
26	2307	125906
27	2386	125470
28	2469	125240
29	2562	125543
30	2644	125319
31	2716	124597
32	2791	124092
33	2895	124849
34	2995	125370
35	3089	125642
36	3180	125744
37	3279	126167
38	3364	126031
39	3446	125815
40	3528	125559
41	3598	124917
42	3674	124512
43	3746	123962
44	3825	123703
45	3908	123541
46	3990	123359
47	4063	122932
48	4151	122922
49	4208	122034
50	4304	122312
51	4386	122138
52	4470	122040
53	4548	121800
54	4620	121388
55	4691	120975
56	4766	120661
57	4837	120258
58	4907	119871
59	4979	119499
60	5054	119234
61	5167	119844
62	5255	119870
63	5332	119653
64	5428	119840
65	5509	119711
66	5587	119495
67	5655	119094
68	5730	118837
69	5798	118446
70	5871	118178
71	5950	118027
72	6032	117931
73	6104	117634
74	6183	117483
75	6251	117135
76	6324	116874
77	6395	116591
78	6476	116493
79	6550	116274
80	6630	116151
81	6700	115865
82	6778	115723
83	6851	115502
84	6923	115247
85	6996	115041
86	7074	114893
87	7154	114803
88	7232	114660
89	7308	114506
90	7379	114262
91	7459	114161
92	7539	114059
93	7613	113877
94	7689	113725
95	7762	113527
96	7835	113329
97	7906	113111
98	7983	112983
99	8107	113498
100	8189	113439
101	8314	113951
102	8407	114027
103	8491	113983
104	8572	113887
105	8648	113737
106	8723	113572
107	8792	113321
108	8865	113142
109	8937	112941
110	9007	112720
111	9076	112480
112	9149	112302
113	9231	112238
114	9313	112165
115	9392	112060
116	9446	111663
117	9523	111538
118	9600	111418
119	9671	111224
120	9748	111096
121	9821	110930
122	9901	110845
123	9971	110656
124	10045	110502
125	10114	110295
126	10200	110278
127	10275	110143
128	10353	110033
129	10425	109865
130	10502	109759
